,ds,y
382,2010-07-31,54800.85886293523
383,2010-08-01,55673.032862935215
384,2010-08-02,54183.770862935264
385,2010-08-03,49409.746862935266
386,2010-08-04,48385.52986293516
387,2010-08-05,48132.83086293529
388,2010-08-06,49020.19686293521
389,2010-08-07,54704.138862935106
390,2010-08-08,55755.98086293522
391,2010-08-09,48478.7267862089
392,2010-08-10,47788.80478620901
393,2010-08-11,48132.58644015294
394,2010-08-12,47922.98044015291
395,2010-08-13,49246.27244015297
396,2010-08-14,54672.02744015298
397,2010-08-15,54882.09444015299
398,2010-08-16,51094.70044015282
399,2010-08-17,49021.985440152865
400,2010-08-18,49129.32866126825
401,2010-08-19,50024.30966126822
402,2010-08-20,49281.55186276076
403,2010-08-21,55982.66586276068
404,2010-08-22,57314.18286276079
405,2010-08-23,49934.45627016815
406,2010-08-24,49531.941270168136
407,2010-08-25,49058.616270168095
408,2010-08-26,48815.5458967038
409,2010-08-27,49763.878896703674
410,2010-08-28,56874.50389670382
411,2010-08-29,58708.38689670382
412,2010-08-30,50038.74089670373
413,2010-08-31,49502.5688967038
414,2010-09-01,48378.296947428506
415,2010-09-02,47542.210981163335
416,2010-09-03,48940.57198116341
417,2010-09-04,58029.50298116335
418,2010-09-05,62409.65498116344
419,2010-09-06,51583.56898116332
420,2010-09-07,49996.76198116337
421,2010-09-08,49600.31698116332
422,2010-09-09,50235.569128431816
423,2010-09-10,50818.9221284318
424,2010-09-11,59361.24812843177
425,2010-09-12,61774.80512843182
426,2010-09-13,51268.488750497454
427,2010-09-14,49913.09975049755
428,2010-09-15,49583.211750497474
429,2010-09-16,49243.89162695432
430,2010-09-17,50350.33961067533
431,2010-09-18,61152.06761067534
432,2010-09-19,63815.43261067532
433,2010-09-20,50179.179610675295
434,2010-09-21,49651.13761067513
435,2010-09-22,49901.00661067534
436,2010-09-23,50093.83926893222
437,2010-09-24,50364.97626893223
438,2010-09-25,59455.27126893216
439,2010-09-26,61334.595268932135
440,2010-09-27,49814.18726893214
441,2010-09-28,50006.74226893226
442,2010-09-29,49258.02127345694
443,2010-09-30,49934.779273457025
444,2010-10-01,50558.301273457066
445,2010-10-02,61377.5572734571
446,2010-10-03,62162.683273457245
447,2010-10-04,51111.84509224903
448,2010-10-05,48939.339092249036
449,2010-10-06,49727.15619692599
450,2010-10-07,49013.03519692602
451,2010-10-08,50932.166722425005
452,2010-10-09,60303.07472242501
453,2010-10-10,62908.17772242503
454,2010-10-11,50018.641722424916
455,2010-10-12,49755.382722424925
456,2010-10-13,51122.56972242499
457,2010-10-14,50382.39873336588
458,2010-10-15,51274.07873336594
459,2010-10-16,60125.70073336575
460,2010-10-17,63258.080733365874
461,2010-10-18,52176.680117313976
462,2010-10-19,51002.160541556295
463,2010-10-20,51098.79054155642
464,2010-10-21,50775.95519026303
465,2010-10-22,53599.669190263165
466,2010-10-23,61214.83019026313
467,2010-10-24,62939.770190263116
468,2010-10-25,60567.32019026313
469,2010-10-26,54125.69192587076
470,2010-10-27,53653.80395448309
471,2010-10-28,54119.120954483085
472,2010-10-29,55924.62604134745
473,2010-10-30,62863.0220413475
474,2010-10-31,69090.48204134755
475,2010-11-01,56076.67978871584
476,2010-11-02,55153.643767707545
477,2010-11-03,54480.95976770754
478,2010-11-04,54240.56876770756
479,2010-11-05,55894.30176770746
480,2010-11-06,66620.31276770752
481,2010-11-07,69424.18776770752
482,2010-11-08,55598.96676770748
483,2010-11-09,55454.16376770758
484,2010-11-10,55130.135769773675
485,2010-11-11,54414.42799863964
486,2010-11-12,55740.2969986397
487,2010-11-13,67614.72799863978
488,2010-11-14,69768.48820970501
489,2010-11-15,56099.69600725127
490,2010-11-16,56345.463011341155
491,2010-11-17,54950.41199301133
492,2010-11-18,54391.80999301112
493,2010-11-19,56317.73899301123
494,2010-11-20,67627.08199301106
495,2010-11-21,70018.88899301116
496,2010-11-22,57718.426654301475
497,2010-11-23,56802.286753890956
498,2010-11-24,57244.56075389103
499,2010-11-25,56699.751753890945
500,2010-11-26,59071.10775389093
501,2010-11-27,70444.73275389099
502,2010-11-28,74773.63289134132
503,2010-11-29,64028.90489134123
504,2010-11-30,65569.66814927767
505,2010-12-01,66165.24114927766
506,2010-12-02,67172.34833504852
507,2010-12-03,69521.2728323833
508,2010-12-04,74589.89650192279
509,2010-12-05,76826.52917536601
510,2010-12-06,65815.93828327904
511,2010-12-07,65716.82128327909
512,2010-12-08,66064.69828327913
513,2010-12-09,64090.894283279034
514,2010-12-10,62542.6883228946
515,2010-12-11,70947.86359285642
516,2010-12-12,75723.8205928564
517,2010-12-13,63395.491965060944
518,2010-12-14,62032.75699800656
519,2010-12-15,62683.652656966246
520,2010-12-16,61885.00165696622
521,2010-12-17,66712.55955316793
522,2010-12-18,78310.20655316804
523,2010-12-19,81747.3055531679
524,2010-12-20,72551.66599701594
525,2010-12-21,75876.69485101246
526,2010-12-22,77399.9234575887
527,2010-12-23,79829.85755518002
528,2010-12-24,96220.22748808346
529,2010-12-25,102315.70048808346
530,2010-12-26,88648.25648808327
531,2010-12-27,77438.28951633183
532,2010-12-28,71840.87651633176
533,2010-12-29,69133.3595163317
534,2010-12-30,67414.70156372462
535,2010-12-31,70753.99196559377
